År,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EA,EA12,EA19,EA20,EE,EL,ES,EU15,EU27,EU28,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK,NO SSB,NOf,US,0%,1%,2%,3%,4%
1996-12-31,-0.4313331651984793,-0.16213832995749566,,-0.1753703471033914,-0.12977939583102138,-0.10608007305134315,-0.2457844696469733,-0.1761970219875595,-0.10898858540722767,-0.1394085499401143,-0.1344140350333376,-0.14984571514779166,-0.15453371667099347,-0.15594970871431268,-0.5635015537724222,-0.30342278139940504,-0.22460148097015775,-0.16576033066368723,-0.17278435541043358,-0.18271049536167627,-0.29588634267920444,-0.15293428672399045,-0.34126645044211035,-0.3337300926814848,-0.4680175636360584,-0.2738582523147066,-0.11242011032469357,,-0.5299590370865515,-0.2914696020073011,-0.6195070039873403,,,,-0.1769184655764242,-0.16686186658575686,-0.3167862248859947,-0.1595691834176396,-0.23914094925354856,-0.5903053160655896,-0.2368494785073576,-0.29945736225521014,-0.28769886112700327,,-0.22545490344169572,,-0.1667111387834872,-0.1879145064091876,-0.182129059984387,0.0,-0.08000000000000007,-0.16000000000000014,-0.24,-0.3200000000000003
1997-12-31,-0.5407258183186228,-0.14191584802483792,,-0.1406970557817413,-0.26988041621411973,-0.08664446654057834,-0.23449124997131765,-0.18104827982033456,-0.09119597987581773,-0.112482480518171,-0.11068160729728227,-0.1258954673767798,-0.1305920949458308,-0.1314035315344686,-0.4272333606001366,-0.2642158788822142,-0.19343111812964509,-0.13809830549551183,-0.1473858641186352,-0.15377330476066042,-0.23687181137977031,-0.13150565468430386,-0.2773432568684866,-0.30238440793815613,-0.374087661444678,-0.22514968078838749,-0.0940164222914941,,-0.44373171501923725,-0.25156244201976197,-0.5208610476045705,,,,-0.14029470740575434,-0.12083993521411607,-0.25513948012850474,-0.12175636969080106,-0.2796979920253335,-0.5209476802815418,-0.20716227603115556,-0.24710328719599328,-0.23253536172785516,,-0.17964650261660964,,-0.12119339047482569,-0.1425691604019228,-0.15058524386213,0.0,-0.07000000000000006,-0.14000000000000012,-0.20999999999999996,-0.28000000000000025
1998-12-31,-0.4498185121353906,-0.1088411027382925,,-0.12332550463162928,-0.22757604747159377,-0.06015307886854071,-0.18731977403873667,-0.18416266701603767,-0.06948715978047204,-0.09295936137726457,-0.08392470124769513,-0.09897733697148237,-0.1029461376535048,-0.10402294715511218,-0.37509482612886735,-0.23194587456471716,-0.15518522634884935,-0.1098314105359357,-0.11922097345256688,-0.12455304088173413,-0.18635809215008958,-0.10099210928733271,-0.25288951406668314,-0.26229765258381477,-0.303354943016954,-0.1654948623446284,-0.07669991687298516,,-0.36429515939706114,-0.1995805756564888,-0.4487220615775924,,,,-0.10092847969533913,-0.10038251663891273,-0.20964227155471793,-0.07955297135369133,-0.30010095339130416,-0.48798141977356835,-0.16616541687020003,-0.214849427960087,-0.19346129476290042,-0.10893435309994359,-0.14618556598521693,,-0.10046382958209854,-0.11041611041902222,-0.1183627687092299,0.0,-0.06000000000000005,-0.1200000000000001,-0.17999999999999994,-0.2400000000000002
1999-12-31,-0.32215749803860216,-0.07375027046222282,,-0.09058327992820381,-0.3082393616539081,-0.04890359987156678,-0.14971532417591948,-0.16927385849420862,-0.04819137178251598,-0.06697965733874867,-0.05639490050676965,-0.07148458664513857,-0.07564517974356377,-0.07660253208958423,-0.3690945667607739,-0.2052963082523993,-0.11658819075924232,-0.0819269088576755,-0.09090081085615687,-0.09574199671658334,-0.14596511994276096,-0.072895074326774,-0.2586705273951715,-0.22906456416944998,-0.21445631204705684,-0.13827578039442123,-0.05994256820319954,,-0.3678255934855157,-0.1352545332665276,-0.41369927057710365,,,,-0.058512617224749874,-0.08684691073197293,-0.16296694023544944,-0.046507174341383184,-0.3010534720946385,-0.32739052826732795,-0.12566275645276903,-0.16316906934731001,-0.19481641454209697,-0.1575673412817249,-0.11695374194986208,,-0.0851077289586506,-0.09377164009915973,-0.08301120334235357,0.0,-0.050000000000000044,-0.10000000000000009,-0.1499999999999999,-0.20000000000000018
2000-12-31,-0.24841212031354853,-0.04494221287607836,,-0.05672792903325963,-0.25912215448540277,-0.0152528825576983,-0.10202347427045488,-0.12895465626995595,-0.020358514966625663,-0.03378261722635756,-0.021972782747777586,-0.037023794651775965,-0.041005451770956824,-0.041994283020065026,-0.28975048396028136,-0.17089639998547668,-0.06999211357695678,-0.04795399449218696,-0.054531355819932514,-0.060788912599058165,-0.09186308956735623,-0.03884034205743614,-0.21956337996241793,-0.18331782451963896,-0.1375465400489322,-0.10321628490220114,-0.022348964723470033,,-0.32728860482289246,-0.08126389489697683,-0.34657013970174155,,-0.056372031648260545,-0.021070740892995765,-0.024447324776662782,-0.06068702893245259,-0.11726547987600444,-0.01645551723422045,-0.2751262055939101,-0.2649218343681401,-0.08194023335336098,-0.13176138817878869,-0.18503418849673103,-0.10139269172052323,-0.08608639201820356,,-0.060893450761708934,-0.0728318112235975,-0.05397330564852432,0.0,-0.040000000000000036,-0.08000000000000007,-0.1200000000000001,-0.16000000000000014
2001-12-31,-0.1628034914890053,-0.035505046885205616,,-0.04914362102012326,-0.1878748186908643,-0.004549242950691479,-0.07453014421284632,-0.09549717962807769,-0.004814514528817426,-0.027841450646073795,-0.019929549395706125,-0.019929549395706125,-0.022869677878054162,-0.02353195550988474,-0.2261684953289258,-0.13560017653426648,-0.03715741543515705,-0.029836696264465168,-0.03534527842046309,-0.040396696736851645,-0.06829407629062967,-0.027235696302640555,-0.14982539357609603,-0.14121188060464718,-0.10134324762700331,-0.07729796699085512,-0.002999956379714064,,-0.2558138293775434,-0.062123288316823455,-0.27169823090116907,,-0.09178975501745867,-0.04712731291620198,-0.008774714936298444,-0.04529937766584702,-0.10496240033199555,-0.004461599958735185,-0.22149604608222617,-0.1966038428109247,-0.07129723891004147,-0.10569849077231908,-0.14839423527663786,-0.17624074570281678,-0.06283773755781485,,-0.04648582605285689,-0.06035535887502874,-0.054448358822152265,0.0,-0.030000000000000027,-0.06000000000000005,-0.09000000000000008,-0.1200000000000001
2002-12-31,-0.1154088441882255,-0.02580196104760546,,-0.0370248454570703,-0.12616054159520207,-0.012503128571801803,-0.049018058402820586,-0.07817301659441789,-0.007874682947726086,-0.026697681519978644,-0.01710833086474217,-0.01710833086474217,-0.01916286116514243,-0.01920031988535076,-0.15109648266907882,-0.10093151779160259,-0.025685728715764355,-0.023852175066465975,-0.02694711200361155,-0.030032502212034018,-0.05392453006741693,-0.023966154311398036,-0.09513640798957912,-0.09214531835277029,-0.061493976316736365,-0.08045361059816791,-0.0025375213260669938,,-0.18136923443970954,-0.04104278553532481,-0.18634468726983577,,-0.06966156274159907,-0.027188192955379442,-0.012844729334830163,-0.036930366655836266,-0.08567375310111469,-0.002186318945036625,-0.1337383292189651,-0.13430782475151481,-0.05215722654325283,-0.07443270427760051,-0.10444885806457815,-0.12464695259571101,-0.04548373352761814,,-0.036767208246786254,-0.04951484263871997,-0.0471003353395929,0.0,-0.020000000000000018,-0.040000000000000036,-0.06000000000000005,-0.08000000000000007
2003-12-31,-0.05786297703095933,-0.018837923149995994,,-0.030705642375021824,-0.07010283394880634,-0.019978319889539797,-0.0356167863758472,-0.045762185686147205,-0.012604338279301075,-0.02487262631903242,-0.01638088676226257,-0.01638088676226257,-0.017259813409757463,-0.017502571985959392,-0.07265897202592786,-0.04681567263184938,-0.015360155564108524,-0.017569292037101114,-0.021503272069288037,-0.020723352163785513,-0.03639192656467127,-0.02133616806975347,-0.04013014401675097,-0.050655040778874394,-0.048314481412365495,-0.0661702463700653,-0.007116055324252635,,-0.07420422386333847,-0.027744040765445455,-0.09430526046214638,,-0.048930067559848744,0.002462272820209499,-0.016372982122258684,-0.03346890855667084,-0.0502223357067999,-0.014901350174787886,-0.10472296296762895,-0.08876665331252198,-0.03698496094565229,-0.044157155612267296,-0.05111819446345578,-0.08108540176460721,-0.017748398965129475,,-0.033451290247061394,-0.04401209849090293,-0.028720815495048235,0.0,-0.010000000000000009,-0.020000000000000018,-0.030000000000000027,-0.040000000000000036
2004-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-31,0.058893601091588366,0.016242115598016582,,0.017620945324910764,0.07179866024134984,0.02115439459208268,0.033201024810983526,0.05914038508305808,0.010178890396971951,0.02045020019164845,0.010762357147036994,0.010762357147036994,0.012102508528068157,0.012275581910949462,0.09620210225408332,0.002980333708275218,0.016343936815361282,0.013413658169274534,0.015532014171593111,0.01702185597329464,0.024112840146826464,0.011406833737417799,0.040950481795619,0.044096674131218094,0.033266574272276195,0.043821701029644444,0.0017450655096631351,,0.0918509824197038,0.00894030578544136,0.11952201002058782,,0.051494814590717475,0.022258601861390837,0.017674140196013433,0.01976734148923498,0.0326377535756146,0.006382509397514724,0.05183869682936937,0.05683770460291804,0.023826884602607734,0.03620184951978356,0.0629650883960915,0.0740291914488882,0.021304887488650337,,0.020327151113781028,0.03958457577964758,0.024956831724683326,0.0,0.009999999999999898,0.019999999999999796,0.030000000000000027,0.03999999999999959
